item,brand,category,collaboration,connection,retail_price,release_year,current_resale,price_low,price_high,volatility_pct,sales_volume,distribution_restriction,access_restriction,replenishment_scarcity,replenishment_status,retail_scarcity_score,scarcity_score,scarcity_confidence,scarcity_basis,legacy_scarcity_score,benchmark_sample,item_cagr,matched_sp_cagr,excess_cagr,beat_sp500,data_status,source,source_url
Chrome Hearts CH Hollywood Trucker Hat Black Black,Chrome Hearts,Luxury Streetwear,,,275,2021,551,402,794,15,25,75,25,25,Observed,47.5,47.5,Medium,Chrome Hearts own stores + select authorized retailers; recurring trucker-hat family,74,No,,,,,verified_snapshot,StockX 3M market data,https://stockx.com/chrome-hearts-ch-hollywood-trucker-hat-black-black
Chrome Hearts Cemetery Cross Zip Hoodie Black,Chrome Hearts,Luxury Streetwear,,,875,2020,2999,875,4505,30,5,75,25,100,Observed,73.75,73.75,Medium,Chrome Hearts controlled retail; exact Cemetery Cross zip-up treated as one-season/capsule exact design,88,Yes,0.20865633513448612,0.1555817775311361,0.05307455760335,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/chrome-hearts-multi-color-cross-cemetery-zip-up-hoodie-black
Chrome Hearts Horseshoe Hoodie Black,Chrome Hearts,Luxury Streetwear,,,900,2020,2355,900,3500,30,50,75,25,50,Observed,56.25,56.25,Medium,Controlled retail; Horseshoe hoodie motif/style recurs but exact configuration is not permanent,76,Yes,0.15949527959391596,0.1555817775311361,0.00391350206277985,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/chrome-hearts-horseshoe-floral-cross-sleeve-zip-up-hoodie-black-white
Chrome Hearts Matty Boy Hoodie Black,Chrome Hearts,Luxury Streetwear,,,875,2021,1225,875,1500,28,8,75,25,100,Observed,73.75,73.75,Medium,Controlled retail; Matty Boy capsule exact hoodie is a one-off seasonal design,82,Yes,0.0630868197491341,0.15048859547142568,-0.08740177572229157,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/chrome-hearts-matty-boy-stay-fast-hoodie-black
Chrome Hearts Trucker Hat Black,Chrome Hearts,Luxury Streetwear,,,245,2021,500,245,596,26,20,75,25,25,Observed,47.5,47.5,Medium,Controlled retail; core trucker-hat family recurs,72,Yes,0.13848676284268224,0.15048859547142568,-0.012001832628743436,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/chrome-hearts-ch-hollywood-trucker-hat-black-black
Gallery Dept. Flare Sweatpants Black,Gallery Dept.,Luxury Streetwear,,,965,2021,475,348,975,26,6,75,0,0,Observed,33.75,33.75,High,Official Gallery Dept store currently carries same core flare/French-logo product families years later,60,Yes,-0.12091628327732928,0.15048859547142568,-0.27140487874875496,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/gallery-dept-painted-flare-sweat-pants-washed-black
Gallery Dept. French Logo Hoodie,Gallery Dept.,Luxury Streetwear,,,595,2021,399,254,975,24,7,75,0,0,Observed,33.75,33.75,High,Official Gallery Dept store currently carries same core flare/French-logo product families years later,58,Yes,-0.07007797774883906,0.15048859547142568,-0.22056657322026474,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/gallery-dept-french-logo-hoodie
Gallery Dept. Souvenir Tee White,Gallery Dept.,Luxury Streetwear,,,250,2025,109,50,275,28,10,75,0,0,Observed,33.75,33.75,Medium,Gallery Dept direct retail/current Souvenir tee family; ordinary checkout and ongoing product family,46,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/gallery-dept-souvenir-tee-white
Adidas Samba Wales Bonner Silver,Adidas,Sneaker,,,200,2023,398,200,504,22,120,50,50,100,Observed,67.5,67.5,High,adidas + select retailers; mix standard and raffles; no documented exact-color re-release,72,Yes,0.21726908748313378,0.22785079680057452,-0.010581709317440735,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/adidas-samba-wales-bonner-silver
Air Jordan 1 High OG Lost and Found,Jordan,Sneaker,,,180,2022,283,131,439,12,1104,25,50,50,Observed,38.75,38.75,High,Broad Jordan retail; mixed access; later shock-drop/restock documented,78,Yes,0.10578262669284433,0.12215651498655733,-0.016373888293713,False,verified_snapshot,StockX 3M market data + user recent sales sample,https://stockx.com/air-jordan-1-retro-high-og-chicago-reimagined-lost-and-found
